ReturnStanding©_Player,ReturnRating©,ReturnRating©1,ReturnRating©_URL,ReturnRating©2,_1stServeReturnPointsWon,_2ndServeReturnPointsWon,_ReturnGamesWon,_BreakPointsConverted,Field
1,https://ws.protennislive.com/api/Atp/PlayerImage?playerId=Z419,https://www.atptour.com/en/~/media/images/flags/esp.svg,https://www.atptour.com/en/players/bernabe-zapata-miralles/z419/overview,Bernabe Zapata Miralles,165.3,34.2%,52.3%,31.0%,47.8%
2,https://ws.protennislive.com/api/Atp/PlayerImage?playerId=MM58,https://www.atptour.com/en/~/media/images/flags/rus.svg,https://www.atptour.com/en/players/daniil-medvedev/mm58/overview,Daniil Medvedev,164.6,32.8%,55.2%,30.6%,46.0%
3,https://ws.protennislive.com/api/Atp/PlayerImage?playerId=N409,https://www.atptour.com/en/~/media/images/flags/esp.svg,https://www.atptour.com/en/players/rafael-nadal/n409/overview,Rafael Nadal,160.8,34.4%,51.7%,30.0%,44.7%
4,https://ws.protennislive.com/api/Atp/PlayerImage?playerId=A0E2,https://www.atptour.com/en/~/media/images/flags/esp.svg,https://www.atptour.com/en/players/carlos-alcaraz/a0e2/overview,Carlos Alcaraz,160.6,34.4%,53.5%,31.4%,41.3%
5,https://ws.protennislive.com/api/Atp/PlayerImage?playerId=D643,https://www.atptour.com/en/~/media/images/flags/srb.svg,https://www.atptour.com/en/players/novak-djokovic/d643/overview,Novak Djokovic,160.5,33.5%,55.9%,29.3%,41.8%
6,https://ws.protennislive.com/api/Atp/PlayerImage?playerId=DH58,https://www.atptour.com/en/~/media/images/flags/aus.svg,https://www.atptour.com/en/players/alex-de-minaur/dh58/overview,Alex de Minaur,159.4,33.7%,53.0%,29.4%,43.3%
7,https://ws.protennislive.com/api/Atp/PlayerImage?playerId=S0AG,https://www.atptour.com/en/~/media/images/flags/ita.svg,https://www.atptour.com/en/players/jannik-sinner/s0ag/overview,Jannik Sinner,157.3,33.1%,53.2%,27.7%,43.3%
8,https://ws.protennislive.com/api/Atp/PlayerImage?playerId=Y268,https://www.atptour.com/en/~/media/images/flags/swe.svg,https://www.atptour.com/en/players/mikael-ymer/y268/overview,Mikael Ymer,156.8,34.9%,51.0%,29.3%,41.6%
9,https://ws.protennislive.com/api/Atp/PlayerImage?playerId=CE77,https://www.atptour.com/en/~/media/images/flags/arg.svg,https://www.atptour.com/en/players/federico-coria/ce77/overview,Federico Coria,156.8,34.1%,50.8%,28.3%,43.6%
10,https://ws.protennislive.com/api/Atp/PlayerImage?playerId=SM37,https://www.atptour.com/en/~/media/images/flags/arg.svg,https://www.atptour.com/en/players/diego-schwartzman/sm37/overview,Diego Schwartzman,155.1,33.2%,52.4%,27.7%,41.8%
11,https://ws.protennislive.com/api/Atp/PlayerImage?playerId=B0CD,https://www.atptour.com/en/~/media/images/flags/usa.svg,https://www.atptour.com/en/players/jenson-brooksby/b0cd/overview,Jenson Brooksby,154.4,32.5%,49.0%,26.6%,46.3%
12,https://ws.protennislive.com/api/Atp/PlayerImage?playerId=M0EJ,https://www.atptour.com/en/~/media/images/flags/ita.svg,https://www.atptour.com/en/players/lorenzo-musetti/m0ej/overview,Lorenzo Musetti,154.0,30.8%,51.6%,25.4%,46.2%
13,https://ws.protennislive.com/api/Atp/PlayerImage?playerId=DH50,https://www.atptour.com/en/~/media/images/flags/esp.svg,https://www.atptour.com/en/players/alejandro-davidovich-fokina/dh50/overview,Alejandro Davidovich Fokina,152.8,32.0%,51.2%,27.7%,41.9%
